Analysis,Subject,Channel,Class,Metric,Value
Time-Frequency,9,C4 (Left Hand),1,Correlation (TF),0.9938315430308637
Time-Frequency,9,C4 (Left Hand),1,RMSE (TF dB),1.512113094329834
PSD,9,C4 (Left Hand),1,PSD Correlation,0.9950359530238472
PSD,9,C4 (Left Hand),1,PSD RMSE,0.0010516245383769274
PSD Band Power,9,C4 (Left Hand),1,Delta Power Diff (Real-Synth),1.2903207391445903e-09
PSD Band Power,9,C4 (Left Hand),1,Delta Power Real,3.141266802231257e-08
PSD Band Power,9,C4 (Left Hand),1,Delta Power Synth,3.012234728316798e-08
PSD Band Distribution,9,C4 (Left Hand),1,Delta KS p-value,0.2037807080245399
PSD Band Distribution,9,C4 (Left Hand),1,Delta Wasserstein Dist,9.577964800762547e-09
PSD Band Power,9,C4 (Left Hand),1,Theta Power Diff (Real-Synth),0.0003319599782116711
PSD Band Power,9,C4 (Left Hand),1,Theta Power Real,0.0008962890133261681
PSD Band Power,9,C4 (Left Hand),1,Theta Power Synth,0.000564329035114497
PSD Band Distribution,9,C4 (Left Hand),1,Theta KS p-value,0.03014026474946289
PSD Band Distribution,9,C4 (Left Hand),1,Theta Wasserstein Dist,0.00033548790185957496
PSD Band Power,9,C4 (Left Hand),1,Alpha Power Diff (Real-Synth),-0.0021901456639170647
PSD Band Power,9,C4 (Left Hand),1,Alpha Power Real,0.012049679644405842
PSD Band Power,9,C4 (Left Hand),1,Alpha Power Synth,0.014239825308322906
PSD Band Distribution,9,C4 (Left Hand),1,Alpha KS p-value,0.009887858751671965
PSD Band Distribution,9,C4 (Left Hand),1,Alpha Wasserstein Dist,0.0032023207713144457
PSD Band Power,9,C4 (Left Hand),1,Beta Power Diff (Real-Synth),-0.0001573037006892264
PSD Band Power,9,C4 (Left Hand),1,Beta Power Real,0.0008091588970273733
PSD Band Power,9,C4 (Left Hand),1,Beta Power Synth,0.0009664625977165997
PSD Band Distribution,9,C4 (Left Hand),1,Beta KS p-value,0.0003733874421162466
PSD Band Distribution,9,C4 (Left Hand),1,Beta Wasserstein Dist,0.0001837753242297811
PSD Band Power,9,C4 (Left Hand),1,Gamma Power Diff (Real-Synth),8.647717550047673e-06
PSD Band Power,9,C4 (Left Hand),1,Gamma Power Real,3.5814075090456754e-05
PSD Band Power,9,C4 (Left Hand),1,Gamma Power Synth,2.716635754040908e-05
PSD Band Distribution,9,C4 (Left Hand),1,Gamma KS p-value,0.008851210571174044
PSD Band Distribution,9,C4 (Left Hand),1,Gamma Wasserstein Dist,8.649943598881527e-06
Grand Average ERP,9,C4 (Left Hand),2,Correlation,0.6117553048480949
Grand Average ERP,9,C4 (Left Hand),2,RMSE,0.08031979203224182
Grand Average ERP,9,C4 (Left Hand),2,Freq Domain Wasserstein Dist,0.38883713596966113
Time-Frequency,9,C4 (Left Hand),2,Correlation (TF),0.9910515910385675
Time-Frequency,9,C4 (Left Hand),2,RMSE (TF dB),1.5691964626312256
PSD,9,C4 (Left Hand),2,PSD Correlation,0.9874140808565655
PSD,9,C4 (Left Hand),2,PSD RMSE,0.0024160570465028286
PSD Band Power,9,C4 (Left Hand),2,Delta Power Diff (Real-Synth),-1.6342724507012463e-08
PSD Band Power,9,C4 (Left Hand),2,Delta Power Real,2.5803686298786488e-08
PSD Band Power,9,C4 (Left Hand),2,Delta Power Synth,4.214641080579895e-08
PSD Band Distribution,9,C4 (Left Hand),2,Delta KS p-value,9.670262209077703e-05
PSD Band Distribution,9,C4 (Left Hand),2,Delta Wasserstein Dist,1.6363009192055243e-08
PSD Band Power,9,C4 (Left Hand),2,Theta Power Diff (Real-Synth),0.00016682021669112146
PSD Band Power,9,C4 (Left Hand),2,Theta Power Real,0.0005195697885937989
PSD Band Power,9,C4 (Left Hand),2,Theta Power Synth,0.0003527495719026774
PSD Band Distribution,9,C4 (Left Hand),2,Theta KS p-value,0.1427393061898416
PSD Band Distribution,9,C4 (Left Hand),2,Theta Wasserstein Dist,0.00017033350095083566
PSD Band Power,9,C4 (Left Hand),2,Alpha Power Diff (Real-Synth),-0.005591345950961113
PSD Band Power,9,C4 (Left Hand),2,Alpha Power Real,0.01545540802180767
PSD Band Power,9,C4 (Left Hand),2,Alpha Power Synth,0.021046753972768784
PSD Band Distribution,9,C4 (Left Hand),2,Alpha KS p-value,0.01884608623569217
PSD Band Distribution,9,C4 (Left Hand),2,Alpha Wasserstein Dist,0.005591345367775786
PSD Band Power,9,C4 (Left Hand),2,Beta Power Diff (Real-Synth),-0.000295181293040514
PSD Band Power,9,C4 (Left Hand),2,Beta Power Real,0.000888208276592195
PSD Band Power,9,C4 (Left Hand),2,Beta Power Synth,0.001183389569632709
PSD Band Distribution,9,C4 (Left Hand),2,Beta KS p-value,0.000238974802637224
PSD Band Distribution,9,C4 (Left Hand),2,Beta Wasserstein Dist,0.0002951812509092546
PSD Band Power,9,C4 (Left Hand),2,Gamma Power Diff (Real-Synth),3.1550342100672424e-05
PSD Band Power,9,C4 (Left Hand),2,Gamma Power Real,8.377937774639577e-05
PSD Band Power,9,C4 (Left Hand),2,Gamma Power Synth,5.222903564572334e-05
PSD Band Distribution,9,C4 (Left Hand),2,Gamma KS p-value,3.734763875688004e-05
PSD Band Distribution,9,C4 (Left Hand),2,Gamma Wasserstein Dist,3.174804094323053e-05
