Analysis,Subject,Channel,Class,Metric,Value
PSD Band Distribution,2,C4 (Left Hand),2,Theta Wasserstein Dist,0.00015706018701611
PSD Band Power,2,C4 (Left Hand),2,Alpha Power Diff (Real-Synth),0.0005447035655379295
PSD Band Power,2,C4 (Left Hand),2,Alpha Power Real,0.01023521926254034
PSD Band Power,2,C4 (Left Hand),2,Alpha Power Synth,0.009690515697002411
PSD Band Distribution,2,C4 (Left Hand),2,Alpha KS p-value,0.5247352197440027
PSD Band Distribution,2,C4 (Left Hand),2,Alpha Wasserstein Dist,0.0012767672913793018
PSD Band Power,2,C4 (Left Hand),2,Beta Power Diff (Real-Synth),-0.00020186812616884708
PSD Band Power,2,C4 (Left Hand),2,Beta Power Real,0.0024603817146271467
PSD Band Power,2,C4 (Left Hand),2,Beta Power Synth,0.002662249840795994
PSD Band Distribution,2,C4 (Left Hand),2,Beta KS p-value,0.5472975855991038
PSD Band Distribution,2,C4 (Left Hand),2,Beta Wasserstein Dist,0.0002526765333018101
PSD Band Power,2,C4 (Left Hand),2,Gamma Power Diff (Real-Synth),-0.00010114244651049376
PSD Band Power,2,C4 (Left Hand),2,Gamma Power Real,0.00020607898477464914
PSD Band Power,2,C4 (Left Hand),2,Gamma Power Synth,0.0003072214312851429
PSD Band Distribution,2,C4 (Left Hand),2,Gamma KS p-value,0.0010998215166261277
PSD Band Distribution,2,C4 (Left Hand),2,Gamma Wasserstein Dist,0.0001011424835455699
