Analysis,Subject,Channel,Class,Metric,Value
PSD Band Power,9,C4 (Left Hand),2,Gamma Power Real,0.00008
PSD Band Power,9,C4 (Left Hand),2,Gamma Power Synth,0.00006
PSD Band Power,9,C4 (Left Hand),2,Theta Power Diff (Real-Synth),0.00019
PSD Band Power,9,C4 (Left Hand),2,Theta Power Real,0.00052
PSD Band Power,9,C4 (Left Hand),2,Theta Power Synth,0.00033
Time-Frequency,9,C3 (Right Hand),1,Correlation (TF dB),0.99366
Time-Frequency,9,C3 (Right Hand),1,RMSE (TF dB),1.30756
Time-Frequency,9,C3 (Right Hand),2,Correlation (TF dB),0.98656
Time-Frequency,9,C3 (Right Hand),2,RMSE (TF dB),1.97047
Time-Frequency,9,C4 (Left Hand),1,Correlation (TF dB),0.99339
Time-Frequency,9,C4 (Left Hand),1,RMSE (TF dB),1.49553
Time-Frequency,9,C4 (Left Hand),2,Correlation (TF dB),0.99190
Time-Frequency,9,C4 (Left Hand),2,RMSE (TF dB),1.48430
